Number of triples,3381623911
Number of subjects,1327447995
Number of predicates,32713
Number of objects,2010015636
Number of shared subject-object,1173987281
Declared Classes,0
Undeclared Classes,2437053
Declared Properties,55818
Undeclared Properties,26193
Unique Individuals,75261968
Reused Individuals,6581051321
Linked Individuals,8532523626
SameAs Links,2723834
SeeAlso Links,0
DifferentFrom Links,0
AllDifferent Links,0
Class Link Count,375351770
Property Link Count,0
Instance Typing Link Count,77479623
